skipped special files,10
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,5.55 TB
total user data,5.46 TB
percent overhead,0.017236

histogram,file size
count,816555,items
average,7174.668330,KB
min,0,KB
max,123599,KB
max,123735,KB
bucket min,bucket max,count,val count
0,2,149,215.500000
2,4,120,360.000000
4,8,27,128.000000
8,16,6,75.000000
16,32,3,61.500000
256,512,1,261.500000
2048,4096,7,16803.000000
4096,8192,816000,5958432000.000000
8192,16384,232,1933170.000000
32768,65536,5,308197.500000
65536,131072,5,552847.500000

histogram,directory size (entries)
count,2125,items
average,385.264941,ents
min,0,ents
max,400,ents
bucket min,bucket max,count,val count
0,1,10,8
2,3,2,6
4,7,1,5
8,15,8,69
16,31,24,560
32,63,40,2040
256,511,2040,816000

histogram,directory size
count,2125,items
average,0.378188,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,val count
0,2,2125,803.650391

histogram,filename length
count,818690,items
average,11.906449,chars
min,4,chars
max,48,chars
bucket min,bucket max,count,val count
0,7,2105,10128
8,15,816185,9729089
16,23,320,5502
24,31,35,1003
32,39,13,449
40,47,16,752
48,55,16,768

histogram,mtime (files)
count,816555,items
average,9.180508,days
min,0,days
max,248,days
bucket min,bucket max,count,val count
0,2,51210,79946.642512
2,4,112110,331532.257905
4,8,163308,912184.387986
8,16,434143,5224470.342442
16,32,55589,915401.217292
32,64,1,46.026400
64,128,57,6012.936644
128,256,137,26795.830822

histogram,mtime (KB)
count,5858511297,items
average,9.142259,days
min,0,days
max,248,days
bucket min,bucket max,count,val count
0,2,367540630,573776691.863053
2,4,804548164,2379121852.350719
4,8,1171914326,6545426969.632286
8,16,3115627117,37493213330.215836
16,32,398880876,6568457485.955530
32,64,0,6.112881
64,128,61,6451.962632
128,256,120,23672.417167

histogram,ctime (files)
count,816555,items
average,8.751961,days
min,0,days
max,16,days
bucket min,bucket max,count,val count
0,2,76810,100047.195139
2,4,91466,274176.366204
4,8,185874,1056496.487731
8,16,428994,5167854.359711
16,32,33411,547882.749931

histogram,ctime (KB)
count,5858511297,items
average,8.751868,days
min,0,days
max,16,days
bucket min,bucket max,count,val count
0,2,551249880,718016382.841252
2,4,656016430,1966024713.851001
4,8,1333407496,7578501720.400043
8,16,3078295648,37082409123.981201
16,32,239541842,3927967785.330460

histogram,atime (files)
count,816555,items
average,6.045790,days
min,0,days
max,16,days
bucket min,bucket max,count,val count
0,2,170398,50275.424711
2,4,156182,576516.002836
4,8,326575,2192058.429398
8,16,163347,2116976.908356
16,32,53,893.382442

histogram,atime (KB)
count,5858511297,items
average,6.045027,days
min,0,days
max,16,days
bucket min,bucket max,count,val count
0,2,1223044073,360786442.645959
2,4,1120438360,4135866469.430862
4,8,2342938323,15726974318.565090
8,16,1171916124,15188293729.556881
16,32,174415,2940004.473007

